FLIGHT_KEY_CD,SCHEDULED_DEPARTURE_TIME,ACTUAL_DEPARTURE_TIME,DELAY_MINUTES
AA100LAX20240721,2024-07-21 08:00:00,2024-07-21 08:15:00,15
AA200JFK20240721,2024-07-21 09:30:00,2024-07-21 09:35:00,5
UA300SFO20240721,2024-07-21 10:15:00,2024-07-21 10:45:00,30
UA400ORD20240721,2024-07-21 11:45:00,2024-07-21 11:50:00,5
DL500ATL20240721,2024-07-21 12:30:00,2024-07-21 13:00:00,30
DL600SEA20240721,2024-07-21 13:15:00,2024-07-21 13:20:00,5
AA101DFW20240722,2024-07-22 07:30:00,2024-07-22 07:45:00,15
UA301EWR20240722,2024-07-22 08:45:00,2024-07-22 09:00:00,15
DL501DTW20240722,2024-07-22 09:30:00,2024-07-22 09:40:00,10
AA201MIA20240722,2024-07-22 10:00:00,2024-07-22 10:30:00,30
